[2026-08-16 00:09:53.673 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 16:10:48.806 (UTC)] info/application	[Sensor] Updated distance: 9.1626184541558 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:49.799 (UTC)] info/application	[Sensor] Updated distance: 31.850051856529923 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:50.803 (UTC)] info/application	[Sensor] Updated distance: 18.67216172845669 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:51.806 (UTC)] info/application	[Sensor] Updated distance: 12.956050259506352 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:52.800 (UTC)] info/application	[Sensor] Updated distance: 24.694047215717866 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:53.804 (UTC)] info/application	[Sensor] Updated distance: 20.355402314269636 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:54.797 (UTC)] info/application	[Sensor] Updated distance: 7.172008270943541 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:55.801 (UTC)] info/application	[Sensor] Updated distance: 31.453598095780983 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:56.804 (UTC)] info/application	[Sensor] Updated distance: 13.04465692259588 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:57.798 (UTC)] info/application	[Sensor] Updated distance: 5.625868798990673 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:58.801 (UTC)] info/application	[Sensor] Updated distance: 9.744112808138183 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:59.805 (UTC)] info/application	[Sensor] Updated distance: 32.38907776697961 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:00.799 (UTC)] info/application	[Sensor] Updated distance: 20.151627116907214 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:01.802 (UTC)] info/application	[Sensor] Updated distance: 27.291896064436013 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:02.805 (UTC)] info/application	[Sensor] Updated distance: 25.153161961190943 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:03.799 (UTC)] info/application	[Sensor] Updated distance: 34.90588912410004 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:04.803 (UTC)] info/application	[Sensor] Updated distance: 19.3960521898214 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:05.806 (UTC)] info/application	[Sensor] Updated distance: 12.880839129388722 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:06.799 (UTC)] info/application	[Sensor] Updated distance: 32.16546233658002 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:07.803 (UTC)] info/application	[Sensor] Updated distance: 17.443474679926165 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:08.807 (UTC)] info/application	[Sensor] Updated distance: 12.905072016131632 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:09.800 (UTC)] info/application	[Sensor] Updated distance: 6.535513276483637 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:10.803 (UTC)] info/application	[Sensor] Updated distance: 38.16613897130179 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:11.807 (UTC)] info/application	[Sensor] Updated distance: 23.68787493076542 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:12.800 (UTC)] info/application	[Sensor] Updated distance: 15.55664680784412 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:13.803 (UTC)] info/application	[Sensor] Updated distance: 35.52245678078497 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:14.806 (UTC)] info/application	[Sensor] Updated distance: 10.668552931709472 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:15.800 (UTC)] info/application	[Sensor] Updated distance: 33.979282289733774 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:16.804 (UTC)] info/application	[Sensor] Updated distance: 31.589380300412596 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:17.797 (UTC)] info/application	[Sensor] Updated distance: 34.85400655160379 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:18.801 (UTC)] info/application	[Sensor] Updated distance: 48.21252414500924 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:19.804 (UTC)] info/application	[Sensor] Updated distance: 38.75199877692014 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:20.798 (UTC)] info/application	[Sensor] Updated distance: 16.70405840813371 cm | Severity=75 | SourceName=Sensor3 | EventType=application
