[2026-08-16 20:19:33.256 (UTC)] info/application	[Sensor] Updated distance: 23.7794090042726 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:34.256 (UTC)] info/application	[Sensor] Updated distance: 24.547446251869 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:35.256 (UTC)] info/application	[Sensor] Updated distance: 23.7676998264006 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:36.256 (UTC)] info/application	[Sensor] Updated distance: 23.8883834259531 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:37.256 (UTC)] info/application	[Sensor] Updated distance: 23.73043921717 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:38.256 (UTC)] info/application	[Sensor] Updated distance: 22.3540974710389 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:39.257 (UTC)] info/application	[Sensor] Updated distance: 21.2454547538634 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:40.257 (UTC)] info/application	[Sensor] Updated distance: 20.2863842559915 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:41.257 (UTC)] info/application	[Sensor] Updated distance: 21.4915772720667 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:42.257 (UTC)] info/application	[Sensor] Updated distance: 21.4053557458824 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:43.257 (UTC)] info/application	[Sensor] Updated distance: 21.1764217345866 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:44.257 (UTC)] info/application	[Sensor] Updated distance: 20.6802814189253 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:45.257 (UTC)] info/application	[Sensor] Updated distance: 20.0618473044885 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:46.256 (UTC)] info/application	[Sensor] Updated distance: 19.1230191838104 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:47.256 (UTC)] info/application	[Sensor] Updated distance: 20.205059121924 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:19:48.255 (UTC)] info/application	[Sensor] Updated distance: 19.6526226923581 cm | Severity=75 | SourceName=Sensor2 | EventType=application
