[2026-08-16 01:08:56.558 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 17:09:56.684 (UTC)] info/application	[Sensor] Updated distance: 42.54987815420603 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:57.687 (UTC)] info/application	[Sensor] Updated distance: 42.10813471307425 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:58.690 (UTC)] info/application	[Sensor] Updated distance: 12.975814004883082 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:59.682 (UTC)] info/application	[Sensor] Updated distance: 26.971554320758 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:00.684 (UTC)] info/application	[Sensor] Updated distance: 39.223659845638856 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:01.686 (UTC)] info/application	[Sensor] Updated distance: 45.02559896326884 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:02.688 (UTC)] info/application	[Sensor] Updated distance: 3.3365508324171187 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:03.691 (UTC)] info/application	[Sensor] Updated distance: 35.10084450296166 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:04.683 (UTC)] info/application	[Sensor] Updated distance: 8.823963861364854 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:05.685 (UTC)] info/application	[Sensor] Updated distance: 19.174307197879212 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:06.687 (UTC)] info/application	[Sensor] Updated distance: 11.642386627217002 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:07.690 (UTC)] info/application	[Sensor] Updated distance: 31.99103879835039 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:08.682 (UTC)] info/application	[Sensor] Updated distance: 47.58342265970233 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:09.684 (UTC)] info/application	[Sensor] Updated distance: 42.48253803350149 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:10.686 (UTC)] info/application	[Sensor] Updated distance: 15.277872285469375 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:11.688 (UTC)] info/application	[Sensor] Updated distance: 46.705039484754685 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:12.690 (UTC)] info/application	[Sensor] Updated distance: 19.677277088946326 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:13.683 (UTC)] info/application	[Sensor] Updated distance: 43.104898993440386 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:14.685 (UTC)] info/application	[Sensor] Updated distance: 23.546498666306256 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:10:15.687 (UTC)] info/application	[Sensor] Updated distance: 33.18668898902213 cm | Severity=75 | SourceName=Sensor3 | EventType=application
